日期,1年
2021-10-22,2.3475
2021-10-25,2.3438
2021-10-26,2.3425
2021-10-27,2.3375
2021-10-28,2.3375
2021-10-29,2.31
2021-11-01,2.3151
2021-11-02,2.3051
2021-11-03,2.3001
2021-11-04,2.3002
2021-11-05,2.2852
2021-11-08,2.2804
2021-11-09,2.2905
2021-11-10,2.2906
2021-11-11,2.2907
2021-11-12,2.2759
2021-11-15,2.2737
2021-11-16,2.2688
2021-11-17,2.2814
2021-11-18,2.2716
2021-11-19,2.2618
2021-11-22,2.2523
2021-11-23,2.25
2021-11-24,2.2426
2021-11-25,2.2477
2021-11-26,2.2427
2021-11-29,2.246
2021-11-30,2.2463
2021-12-01,2.2443
2021-12-02,2.2446
2021-12-03,2.255
2021-12-06,2.2452
2021-12-07,2.251
2021-12-08,2.2658
2021-12-09,2.2767
2021-12-10,2.2767
2021-12-13,2.3015
2021-12-14,2.298
2021-12-15,2.3101
2021-12-16,2.3108
2021-12-17,2.3209
2021-12-20,2.3572
2021-12-21,2.3828
2021-12-22,2.3657
2021-12-23,2.3336
2021-12-24,2.3386
2021-12-27,2.3541
2021-12-28,2.3444
2021-12-29,2.3353
2021-12-30,2.2936
2021-12-31,2.2429
2022-01-04,2.2529
2022-01-05,2.2284
2022-01-06,2.2303
2022-01-07,2.2295
2022-01-10,2.2143
2022-01-11,2.1957
2022-01-12,2.1898
2022-01-13,2.1812
2022-01-14,2.1721
2022-01-17,2.1566
2022-01-18,2.0501
2022-01-19,2.0401
2022-01-20,2.0204
2022-01-21,2.0018
2022-01-24,1.9502
2022-01-25,1.9656
2022-01-26,1.9807
2022-01-27,1.9936
2022-01-28,1.9507
2022-01-29,1.9512
2022-01-30,1.9514
2022-02-07,1.9472
2022-02-08,1.9049
2022-02-09,1.9001
2022-02-10,1.8837
2022-02-11,1.9192
2022-02-14,1.9017
2022-02-15,1.8847
2022-02-16,1.9279
2022-02-17,1.9095
2022-02-18,1.9781
2022-02-21,2.0326
2022-02-22,2.1162
2022-02-23,2.0935
2022-02-24,2.0948
2022-02-25,2.0242
2022-02-28,2.0442
2022-03-01,2.0537
2022-03-02,2.0867
2022-03-03,2.1167
2022-03-04,2.1074
2022-03-07,2.0849
2022-03-08,2.0687
2022-03-09,2.115
2022-03-10,2.115
2022-03-11,2.0863
2022-03-14,2.0725
2022-03-15,2.1275
2022-03-16,2.1431
2022-03-17,2.1368
2022-03-18,2.1106
2022-03-21,2.15
2022-03-22,2.1649
2022-03-23,2.168
2022-03-24,2.1704
2022-03-25,2.1632
2022-03-28,2.1595
2022-03-29,2.1582
2022-03-30,2.1545
2022-03-31,2.1299
2022-04-01,2.1052
2022-04-02,2.1006
2022-04-06,2.0832
2022-04-07,2.06
2022-04-08,2.0669
2022-04-11,2.0757
2022-04-12,2.0729
2022-04-13,2.0521
2022-04-14,2.0264
2022-04-15,1.9918
2022-04-18,2.0143
2022-04-19,2.0184
2022-04-20,2.0136
2022-04-21,1.9825
2022-04-22,1.9542
2022-04-24,1.9523
2022-04-25,1.9282
2022-04-26,1.9633
2022-04-27,2.041
2022-04-28,2.0563
2022-04-29,2.032
2022-05-05,2.0367
2022-05-06,2.0454
2022-05-07,2.0423
2022-05-09,2.0373
2022-05-10,2.0306
2022-05-11,2.051
2022-05-12,2.0261
2022-05-13,2.0125
2022-05-16,1.997
2022-05-17,1.9474
2022-05-18,1.9275
2022-05-19,1.9421
2022-05-20,1.9565
2022-05-23,1.9568
2022-05-24,1.9677
2022-05-25,1.9773
2022-05-26,1.9246
2022-05-27,1.9133
2022-05-30,1.9141
2022-05-31,1.916
2022-06-01,1.9415
2022-06-02,1.9564
2022-06-06,2.0199
2022-06-07,2.018
2022-06-08,2.0282
2022-06-09,2.0151
2022-06-10,2.0051
2022-06-13,2.0026
2022-06-14,2.0176
2022-06-15,2.036
2022-06-16,2.0352
2022-06-17,2.0102
2022-06-20,2.0056
2022-06-21,2.0018
2022-06-22,1.9869
2022-06-23,1.9608
2022-06-24,1.9653
2022-06-27,1.9971
2022-06-28,1.9976
2022-06-29,1.9763
2022-06-30,1.9504
2022-07-01,1.9324
2022-07-04,1.9831
2022-07-05,2.01
2022-07-06,1.9911
2022-07-07,1.9824
2022-07-08,1.9584
2022-07-11,1.9417
2022-07-12,1.9345
2022-07-13,1.9376
2022-07-14,1.9147
2022-07-15,1.8837
2022-07-18,1.8488
2022-07-19,1.8491
2022-07-20,1.8712
2022-07-21,1.8717
2022-07-22,1.9036
2022-07-25,1.9007
2022-07-26,1.881
2022-07-27,1.8772
2022-07-28,1.8905
2022-07-29,1.8623
2022-08-01,1.8269
2022-08-02,1.7705
2022-08-03,1.7528
2022-08-04,1.6907
2022-08-05,1.7116
2022-08-08,1.7316
2022-08-09,1.7886
2022-08-10,1.8136
2022-08-11,1.8161
2022-08-12,1.8115
2022-08-15,1.7167
